product_family,feature_flag,support_status,condition,source_id,validation_action
S_BASE_PLUS,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
S_ULTRA,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
S_FE,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
Z_FOLD,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
Z_FLIP,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
A_SERIES,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
XCOVER,CORE_PHONE_FUNCTIONS,SUPPORTED,세대·지역·SKU별 세부 차이 가능,SRC001,ALLOW
S_BASE_PLUS,WIRELESS_CHARGING,GENERALLY_SUPPORTED,정확한 모델 확인 필요,SRC004,REQUIRE_MODEL_CHECK
S_ULTRA,WIRELESS_CHARGING,GENERALLY_SUPPORTED,정확한 모델 확인 필요,SRC004,REQUIRE_MODEL_CHECK
S_FE,WIRELESS_CHARGING,GENERALLY_SUPPORTED,정확한 모델 확인 필요,SRC004,REQUIRE_MODEL_CHECK
Z_FOLD,WIRELESS_CHARGING,GENERALLY_SUPPORTED,정확한 모델 확인 필요,SRC004,REQUIRE_MODEL_CHECK
Z_FLIP,WIRELESS_CHARGING,GENERALLY_SUPPORTED,정확한 모델 확인 필요,SRC004,REQUIRE_MODEL_CHECK
A_SERIES,WIRELESS_CHARGING,GENERALLY_UNSUPPORTED,예외 SKU가 있을 수 있으므로 모델 스펙 확인,SRC004,BLOCK_UNLESS_MODEL_PROVEN
XCOVER,WIRELESS_CHARGING,GENERALLY_UNSUPPORTED,예외 SKU가 있을 수 있으므로 모델 스펙 확인,SRC004,BLOCK_UNLESS_MODEL_PROVEN
S_BASE_PLUS,DEX_WIRED,CONDITIONAL,세대·OS·출력 방식에 따라 다름,SRC003,REQUIRE_MODEL_AND_OS
S_ULTRA,DEX_WIRED,CONDITIONAL,세대·OS·출력 방식에 따라 다름,SRC003,REQUIRE_MODEL_AND_OS
S_FE,DEX_WIRED,CONDITIONAL,세대·OS·출력 방식에 따라 다름,SRC003,REQUIRE_MODEL_AND_OS
Z_FOLD,DEX_WIRED,CONDITIONAL,세대·OS·출력 방식에 따라 다름,SRC003,REQUIRE_MODEL_AND_OS
Z_FLIP,DEX_WIRED,MOSTLY_UNSUPPORTED,Z Flip7 등 일부 신형 예외; 이전 Flip은 미지원,SRC003,BLOCK_UNLESS_MODEL_PROVEN
A_SERIES,DEX_WIRED,MOSTLY_UNSUPPORTED,A90 5G 등 예외,SRC003,BLOCK_UNLESS_MODEL_PROVEN
XCOVER,DEX_WIRED,MOSTLY_UNSUPPORTED,A90 5G 등 예외,SRC003,BLOCK_UNLESS_MODEL_PROVEN
