dimension,code,parent_code,description_ko,allowed_for,notes
PROVENANCE_TYPE,REAL_PUBLIC,,실제 공개 VoC,ALL,
PROVENANCE_TYPE,REAL_INTERNAL,,실제 내부 VoC,ALL,
PROVENANCE_TYPE,SYNTHETIC_SCENARIO,,합성용 정규화 시나리오,ALL,
PROVENANCE_TYPE,SYNTHETIC_RAW,,합성 Raw VoC,ALL,
PROVENANCE_TYPE,HUMAN_AUTHORED_TEST,,사람이 작성한 평가 데이터,ALL,
INTENT_TYPE,DEFECT_REPORT,,불량·오동작 신고,ALL,
INTENT_TYPE,PERFORMANCE_COMPLAINT,,성능 저하 불만,ALL,
INTENT_TYPE,USABILITY_COMPLAINT,,사용성 불만,ALL,
INTENT_TYPE,SERVICE_COMPLAINT,,수리·상담 경험 불만,ALL,
INTENT_TYPE,WARRANTY_DISPUTE,,보증 판정 이의,ALL,
INTENT_TYPE,PURCHASE_COMPLAINT,,구매·배송·프로모션 불만,ALL,
INTENT_TYPE,FEATURE_REQUEST,,기능 개선·추가 요청,ALL,
INTENT_TYPE,HOW_TO,,사용법 문의,ALL,
INTENT_TYPE,COMPARISON,,타 제품·전작 비교,ALL,
INTENT_TYPE,PRAISE,,긍정 평가,ALL,
INTENT_TYPE,SAFETY_REPORT,,안전 관련 신고,ALL,
OBSERVED_SYMPTOM,NO_FUNCTION,,완전 동작 불가,ALL,
OBSERVED_SYMPTOM,INTERMITTENT,,간헐 동작,ALL,
OBSERVED_SYMPTOM,DISCONNECT,,연결 해제,ALL,
OBSERVED_SYMPTOM,DEGRADED,,성능·품질 저하,ALL,
OBSERVED_SYMPTOM,SLOW,,처리 속도 저하,ALL,
OBSERVED_SYMPTOM,DELAY,,반응 지연,ALL,
OBSERVED_SYMPTOM,EXCESS_CONSUMPTION,,배터리·데이터 과소모,ALL,
OBSERVED_SYMPTOM,OVERHEAT,,과도한 발열,ALL,
OBSERVED_SYMPTOM,CRASH,,앱 종료,ALL,
OBSERVED_SYMPTOM,FREEZE,,멈춤,ALL,
OBSERVED_SYMPTOM,RESTART,,재부팅,ALL,
OBSERVED_SYMPTOM,SHUTDOWN,,전원 꺼짐,ALL,
OBSERVED_SYMPTOM,FALSE_DETECTION,,오감지,ALL,
OBSERVED_SYMPTOM,INACCURATE,,측정·번역·위치 부정확,ALL,
OBSERVED_SYMPTOM,VISUAL_ARTIFACT,,화면 이상,ALL,
OBSERVED_SYMPTOM,AUDIO_ARTIFACT,,잡음·왜곡,ALL,
OBSERVED_SYMPTOM,PHYSICAL_DAMAGE,,물리 손상,ALL,
OBSERVED_SYMPTOM,MISSING_DATA,,데이터 누락,ALL,
OBSERVED_SYMPTOM,INCOMPATIBLE,,비호환,ALL,
OBSERVED_SYMPTOM,DIFFICULT_TO_USE,,사용 어려움,ALL,
OBSERVED_SYMPTOM,FEATURE_MISSING,,기능 미지원·삭제,ALL,
